0	8.33447649331653e-12
0.0349066	8.32593518298775e-12
0.0698132	8.30034205455028e-12
0.10472	8.25781289352145e-12
0.139626	8.19854323790801e-12
0.174533	8.12279052928456e-12
0.20944	8.03091828389765e-12
0.244346	7.92338331168358e-12
0.279253	7.80074434700954e-12
0.314159	7.66369978048151e-12
0.349066	7.5130938533753e-12
0.383972	7.34996465656124e-12
0.418879	7.17553573707098e-12
0.453786	6.99121802370448e-12
0.488692	6.79869023557587e-12
0.523599	6.5998933180331e-12
0.558505	6.39714818031595e-12
0.593412	6.19297484523989e-12
0.628319	5.99025487775974e-12
0.663225	5.79226749457715e-12
0.698132	5.60253456253997e-12
0.733038	5.42466740120201e-12
0.767945	5.26242574847152e-12
0.802851	5.11924331669016e-12
0.837758	4.99789752922677e-12
0.872665	4.89993934696254e-12
0.907571	4.82518585701972e-12
0.942478	4.77078027210667e-12
0.977384	4.73048027727043e-12
1.01229	4.69426149113831e-12
1.0472	4.6492984860469e-12
1.0821	4.58279991237117e-12
1.11701	4.4877395923694e-12
1.15192	4.37391717451761e-12
1.18682	4.27757494527403e-12
1.22173	4.25964175768417e-12
1.25664	4.37057838823884e-12
1.29154	4.57999138156022e-12
1.32645	4.7475274745365e-12
1.36136	4.73228907102503e-12
1.39626	4.49456302113024e-12
1.43117	4.34288778523828e-12
1.46608	4.5282571108881e-12
1.50098	4.44610059964044e-12
1.53589	4.56548472902724e-12
1.5708	4.63954505323353e-12
1.6057	4.56549419665773e-12
1.64061	4.44613256019704e-12
1.67552	4.52825234142504e-12
1.71042	4.34289148647958e-12
1.74533	4.4945413735105e-12
1.78024	4.73231715839053e-12
1.81514	4.74753451645404e-12
1.85005	4.58000790638943e-12
1.88496	4.37054144803509e-12
1.91986	4.25964495929252e-12
1.95477	4.27756974789581e-12
1.98968	4.37394109073888e-12
2.02458	4.487731370249e-12
2.05949	4.58279379191739e-12
2.0944	4.64930980657392e-12
2.1293	4.69425858267752e-12
2.16421	4.73048167089297e-12
2.19911	4.77077413783953e-12
2.23402	4.82518283251688e-12
2.26893	4.89994513540953e-12
2.30383	4.99788289287099e-12
2.33874	5.11923703082314e-12
2.37365	5.26243604915085e-12
2.40855	5.42464463480457e-12
2.44346	5.60253111040433e-12
2.47837	5.79228056419345e-12
2.51327	5.99023384641644e-12
2.54818	6.19297102656611e-12
2.58309	6.39716188657541e-12
2.61799	6.59987226160698e-12
2.6529	6.79868656520189e-12
2.68781	6.99123611534151e-12
2.72271	7.17551693729716e-12
2.75762	7.34996149251557e-12
2.79253	7.51310890818265e-12
2.82743	7.66368471059506e-12
2.86234	7.8007456367838e-12
2.89725	7.92339435538448e-12
2.93215	8.03091069818926e-12
2.96706	8.12279136172399e-12
3.00197	8.19854971508778e-12
3.03687	8.25780902109175e-12
3.07178	8.30034258812871e-12
3.10669	8.32593711368721e-12
3.14159	8.33447649326716e-12
